intent_id	answer	audio_path
request_for_language	उफ़, क्या यह बेहतर है?	covid_hospital.wav
acknowledge_request_for_language_2	हम वहाँ चलें। अब जब हम फिर से एक ही भाषा बोल रहे हैं, तो आप कोविड -19 या वैक्सीन के बारे में क्या जानना चाहेंगे?
covid_breastfeeding_mother_infection	यूनिसेफ के अनुसार, अगर आपके पास कोविड -19 है, तो यह आपके बच्चे को स्तनपान कराना सुरक्षित है-आपको बस अपने बच्चे को अपने मुंह और नाक से दूर रखने की आवश्यकता है। यहाँ कोविड -19 से संक्रमित माताओं के लिए यूनिसेफ की सलाह है: जब आप स्तनपान कराते हैं तो मास्क पहनें अपने बच्चे को छूने से पहले अपने हाथों को साबुन से धो लें नियमित रूप से सतहों कीटाणुरहित करें
covid_desinfect_with_ashes	यदि आपके पास साबुन नहीं है, तो आप राख और पानी का उपयोग करके अपने हाथ धो सकते हैं। इस बात का कोई सबूत नहीं है कि ऐश वायरस को मार सकता है या इसे पूरी तरह से अपने हाथों से हटा सकता है, लेकिन यह कुछ भी नहीं से बेहतर हो सकता है। यदि आप ऐश का उपयोग करते हैं, तो ध्यान रखें कि आग के केंद्र से सफेद राख (एक बार ठंडा होने पर) सबसे अच्छा विकल्प है। यह सबसे गर्म तापमान पर पहुंच गया, इसलिए यह सबसे बाँझ है।
covid_duration_outbreak	वैज्ञानिकों का अनुमान है कि एक बार पर्याप्त लोग टीकाकरण के माध्यम से वायरस के लिए प्रतिरक्षा विकसित करते हैं, यह कमजोर हो जाएगा और आम ठंड की तरह हो सकता है। उस समय, हम इसके खिलाफ विशेष उपाय किए बिना वायरस के साथ रह सकते हैं। यह कितनी तेजी से होता है, यह कई कारकों पर निर्भर करता है, जिसमें हम पूरी दुनिया में लोगों को कितनी जल्दी टीकाकरण कर सकते हैं।
covid_flu_differences	फ्लू और कोविड -19 के बीच कुछ प्रमुख अंतर: COVID-19 संक्रमण गंभीर बीमारी का कारण बनता है और फ्लू की तुलना में चिकित्सा की आवश्यकता होती है। कोविड -19 में फ्लू की तुलना में अधिक मृत्यु दर है। कोविड -19 फ्लू की तुलना में अधिक तेज़ी से फैलता है। फ्लू के लिए अनुमोदित उपचार हैं, लेकिन COVID-19 के लिए कोई व्यापक रूप से अनुमोदित उपचार नहीं है। फ्लू आमतौर पर स्वाद और गंध का नुकसान नहीं करता है, लेकिन कोविड -19 कभी-कभी इस लक्षण का कारण बन सकता है। अच्छी खबर यह है कि वही उपाय जो आपको कोविड -19 संक्रमण से बचाने में मदद करते हैं, आपको फ्लू से बचाने में भी मदद करते हैं।
covid_funerals	यहाँ NCDC की सलाह है कि वे अंतिम संस्कार में भाग लेने वाले लोगों के लिए हैं: हैंडशेक या किसी अन्य भौतिक संपर्क से बचें अपनी आँखों, नाक और मुंह को छूने से बचें शरीर को छूना या चुंबन नहीं एक अंतिम संस्कार प्रार्थना में भाग लेने और इकट्ठा करने से पहले और बाद में अपने हाथों को साबुन और पानी से धोएं अपने आप को और दूसरों को बचाने के लिए एक मुखौटा पहनें यदि आप बीमार महसूस कर रहे हैं या किसी ऐसे व्यक्ति के साथ घनिष्ठ संपर्क कर रहे हैं, जो कोविड -19 हो सकता है
covid_hospital	ज्यादातर लोग अस्पताल में रहने के बिना कोविड -19 से उबरते हैं। यदि आपके पास इनमें से कोई भी लक्षण है: एक खांसी सांस लेने में कठिनाई एक बुखार ... सरकार चाहेगी कि आप पुष्टि करने के लिए एक मुफ्त परीक्षण प्राप्त करें। मेरे परिवार में सभी का परीक्षण किया गया है और वे कहते हैं कि यह इतना बुरा नहीं है चलो , मुझसे पूछो कि आप कहां परीक्षण कर सकते हैं - मुझे यह पता है!	covid_hospital.wav
covid_how_spread	वैज्ञानिकों ने कोविद -19 के फैलने के बारे में यह खोज की है ए कोविड -19 छोटी बूंदों के माध्यम से फैलता है जो संक्रमित लोग अपनी नाक या मुंह से निकालते हैं। जब संक्रमित व्यक्ति बात करता है, चिल्लाता है, गाता है या यहां तक ​​कि सिर्फ सांस लेता है, तो बूंदें अन्य लोगों और वस्तुओं पर उतरती हैं। संक्रमित व्यक्ति केपास के लोग ये वायरस पकड़ सकते हैं अगर ये बूंदे उन पर गिरे। यदि आप किसी ऐसी वस्तु को छूते हैं जिसे संक्रमित व्यक्ति ने छुआ है या उसके पास रहा है, और इसके बाद आप हाथ धोने से पहले उनकी आंख, नाक या मुंह को छूते हैं तो आप भी वायरस को पकड़ सकते हैं।
covid_incubation	वायरस को पकड़ने और लक्षण लो दिखने के बीच के समय को उद्भवन अवधि कहा जाता है। विश्व स्वास्थ्य संगठन का कहना है कि COVID-19 के लक्षण आमतौर पर एक और 14 दिनों के बीच शुरू होते हैं।
covid_infection_from_cured_people	एक बार जब कोई कोविड -19 से पूरी तरह से उबर गया है, तो वे किसी और की तुलना में किसी को वायरस देने की अधिक संभावना नहीं रखते हैं। NCDC के अनुसार, यह कहना सुरक्षित है कि एक व्यक्ति जो कोविड -19 था, बरामद किया गया है और अब संक्रामक नहीं है: उनके लक्षणों में सुधार हुआ है उन्हें कम से कम तीन दिनों के लिए बुखार नहीं था उनके लक्षणों के शुरू होने के बाद से कम से कम 10 दिन हो गए हैं यह दुर्लभ है, लेकिन किसी व्यक्ति के लिए दूसरी बार संक्रमित होना संभव है, इसलिए यह एक अच्छा विचार है कि एक मुखौटा पहनना और सार्वजनिक रूप से अन्य लोगों से कम से कम दो मीटर की दूरी पर रहना, चाहे वे पहले कोविड -19 से पहले हों या नहीं।
